customer_id,district,plan_tier,gender,payment_method,tenure_months,tenure_band,monthly_arpu_lkr,avg_nps_score,complaint_count_6m,late_payment_count_12m,app_usage_flag,churn_flag,churn_label,churn_date,churn_probability,priority_score,revenue_at_risk,annual_revenue_at_risk
C1014504,Ampara,Gold,Female,Auto-debit,16,13-24m,3982.17,8.0,0.0,2,0,0,Retained,,0.45770308,1822.6514890310168,1822.6514890310168,21871.8178683722
C1016293,Trincomalee,Gold,Male,Auto-debit,53,37-60m,3294.45,7.0,0.0,0,1,0,Retained,,0.24192508,797.0100654758512,797.0100654758512,9564.120785710214
C1016869,Trincomalee,Silver,Female,Cash,28,25-36m,3798.9,7.0,0.0,1,0,0,Retained,,0.4206141,1597.87087995708,1597.87087995708,19174.45055948496
C1048364,Anuradhapura,Basic,Male,Cash,4,0-6m,905.63,9.0,0.0,0,1,0,Retained,,0.51440686,465.8622845083475,465.8622845083475,5590.34741410017
C1002996,Trincomalee,Gold,Male,Bank transfer,7,7-12m,4021.31,7.0,3.0,1,1,0,Retained,,0.52499074,2111.1505023676154,2111.1505023676154,25333.806028411385
C1036568,Galle,Gold,Female,Auto-debit,9,7-12m,4088.11,10.0,1.0,1,0,1,Churned,4/12/2025,0.533875,2182.539679465294,2182.539679465294,26190.476153583528
C1031607,Gampaha,Gold,Male,App,34,25-36m,4563.1,9.0,0.0,1,1,0,Retained,,0.36392352,1660.6194134265186,1660.6194134265186,19927.432961118222
C1014845,Gampaha,Basic,Male,Cash,11,7-12m,1456.55,6.0,0.0,2,1,0,Retained,,0.6053708,881.7528672426939,881.7528672426939,10581.034406912328
C1013205,Galle,Platinum,Female,Bank transfer,5,0-6m,7489.29,3.0,0.0,0,1,1,Churned,12/11/2025,0.6662652,4989.853222176433,4989.853222176433,59878.23866611719
C1044110,Galle,Basic,Female,Cash,5,0-6m,980.01,8.0,1.0,2,0,0,Retained,,0.6804593,666.856938727498,666.856938727498,8002.2832647299765
C1006537,Batticaloa,Gold,Female,Cash,17,13-24m,2582.31,4.0,0.0,1,1,0,Retained,,0.5715936,1476.0318243616819,1476.0318243616819,17712.38189234018
C1030292,Kurunegala,Gold,Male,Auto-debit,35,25-36m,3655.65,7.0,0.0,1,0,0,Retained,,0.3290844,1203.0173735618591,1203.0173735618591,14436.20848274231
C1018486,Badulla,Silver,Female,Auto-debit,26,25-36m,3135.39,9.0,0.0,1,0,0,Retained,,0.23954792,751.0761629448831,751.0761629448831,9012.913955338598
C1032502,Badulla,Silver,Male,App,44,37-60m,2892.81,7.0,0.0,1,0,0,Retained,,0.31400603,908.3597852629423,908.3597852629423,10900.317423155308
C1022328,Kurunegala,Silver,Female,App,1,0-6m,3170.91,7.0,3.0,0,1,0,Retained,,0.7339932,2327.4262910735606,2327.4262910735606,27929.115492882727
C1001603,Anuradhapura,Basic,Male,Bank transfer,1,0-6m,1593.84,7.0,2.0,0,1,1,Churned,2/5/2025,0.688155,1096.8089579343796,1096.8089579343796,13161.707495212555
C1002191,Kilinochchi,Silver,Male,Auto-debit,28,25-36m,2382.55,7.0,0.0,1,1,0,Retained,,0.22400694,533.7077252574265,533.7077252574265,6404.492703089119
C1032435,Monaragala,Basic,Male,Auto-debit,1,0-6m,891.21,4.0,0.0,1,1,1,Churned,2/27/2025,0.7072406,630.2998786497117,630.2998786497117,7563.59854379654
C1049607,Kalutara,Basic,Female,App,7,7-12m,510.04,5.0,1.0,1,1,0,Retained,,0.49114516,250.50367933154106,250.50367933154106,3006.0441519784927
C1040151,Kurunegala,Gold,Male,Auto-debit,37,37-60m,4366.24,7.0,0.0,1,1,1,Churned,10/28/2025,0.40029418,1747.7804809379577,1747.7804809379577,20973.365771255492
C1044347,Monaragala,Basic,Female,Bank transfer,13,13-24m,619.28,5.0,1.0,0,1,0,Retained,,0.33764926,209.09943125009536,209.09943125009536,2509.1931750011445
C1032742,Gampaha,Gold,Male,Auto-debit,57,37-60m,4573.67,5.0,0.0,0,0,0,Retained,,0.31388316,1435.597972201407,1435.597972201407,17227.175666416882
C1012623,Mullaitivu,Basic,Male,Bank transfer,6,0-6m,947.9,7.0,0.0,0,1,0,Retained,,0.35896823,340.2659834176302,340.2659834176302,4083.1918010115623
C1033283,Kalutara,Basic,Male,Bank transfer,9,7-12m,1485.67,6.0,1.0,2,1,0,Retained,,0.5252764,780.3874226164818,780.3874226164818,9364.649071397782
C1027917,Colombo,Platinum,Male,Cash,34,25-36m,7984.05,7.0,0.0,1,0,1,Churned,12/4/2025,0.5408936,4318.521661189198,4318.521661189198,51822.259934270376
C1040519,Galle,Basic,Male,Bank transfer,22,13-24m,1536.09,8.0,2.0,0,0,0,Retained,,0.26519814,407.3682129254937,407.3682129254937,4888.4185551059245
C1043038,Ampara,Gold,Female,Auto-debit,27,25-36m,5106.44,7.0,0.0,0,0,0,Retained,,0.29091296,1485.5295550334451,1485.5295550334451,17826.354660401343
C1017819,Matale,Gold,Female,Auto-debit,17,13-24m,5029.03,7.0,0.0,1,1,1,Churned,2/26/2025,0.368673,1854.0675608929992,1854.0675608929992,22248.810730715988
C1045759,Galle,Basic,Male,Cash,7,7-12m,1422.19,4.0,1.0,1,1,1,Churned,11/7/2025,0.66912055,951.6165552258492,951.6165552258492,11419.398662710191
C1022213,Anuradhapura,Gold,Male,Auto-debit,35,25-36m,5675.1,5.0,0.0,0,1,0,Retained,,0.3952802,2243.254732051492,2243.254732051492,26919.056784617904
C1037434,Galle,Basic,Female,Bank transfer,4,0-6m,1174.83,7.0,0.0,1,0,1,Churned,11/22/2025,0.5684317,667.8105852502584,667.8105852502584,8013.727023003101
C1048454,Kegalle,Basic,Male,Auto-debit,1,0-6m,1207.24,5.0,0.0,1,1,0,Retained,,0.6187941,747.0329694795608,747.0329694795608,8964.39563375473
C1016545,Matara,Basic,Female,App,11,7-12m,1095.5,2.0,1.0,0,1,0,Retained,,0.5643592,618.2554905414581,618.2554905414581,7419.065886497498
C1043107,Colombo,Platinum,Male,Cash,3,0-6m,7860.47,6.0,2.0,0,1,1,Churned,2/20/2025,0.7763389,6102.3884390801195,6102.3884390801195,73228.66126896144
C1011224,Colombo,Silver,Male,Auto-debit,25,25-36m,1944.96,2.0,0.0,0,0,0,Retained,,0.37192276,723.3748936271668,723.3748936271668,8680.498723526001
C1019220,Kalutara,Silver,Male,Bank transfer,12,7-12m,2485.54,4.0,1.0,0,1,0,Retained,,0.41415587,1029.400982800126,1029.400982800126,12352.811793601511
C1031255,Kalutara,Basic,Female,App,57,37-60m,673.34,5.0,2.0,0,1,1,Churned,3/2/2025,0.48856196,328.9683088499308,328.9683088499308,3947.6197061991697
C1032640,Colombo,Gold,Female,Bank transfer,48,37-60m,3464.0,8.0,0.0,1,1,0,Retained,,0.27702433,959.612274646759,959.612274646759,11515.347295761108
C1042597,Colombo,Gold,Male,App,5,0-6m,3776.58,5.0,0.0,0,1,0,Retained,,0.5824673,2199.7344222307206,2199.7344222307206,26396.81306676865
C1045089,Batticaloa,Basic,Female,Bank transfer,3,0-6m,689.52,8.0,0.0,1,1,0,Retained,,0.4734853,326.47757785320283,326.47757785320283,3917.730934238434
C1002984,Colombo,Silver,Male,Cash,29,25-36m,2137.82,7.0,0.0,0,1,0,Retained,,0.34809685,744.1684025955201,744.1684025955201,8930.020831146241
C1032392,Polonnaruwa,Basic,Male,Auto-debit,29,25-36m,1083.6,7.0,1.0,0,0,0,Retained,,0.20723477,224.5595968365669,224.5595968365669,2694.7151620388026
C1005598,Vavuniya,Basic,Female,Bank transfer,5,0-6m,1352.92,10.0,1.0,1,1,1,Churned,1/27/2025,0.5590162,756.3042348098755,756.3042348098755,9075.650817718506
C1017003,Ratnapura,Silver,Male,App,12,7-12m,2647.18,6.0,0.0,2,0,1,Churned,7/4/2025,0.49388796,1307.4103323638437,1307.4103323638437,15688.923988366125
C1046333,Matara,Basic,Male,App,5,0-6m,1354.91,6.0,0.0,3,1,1,Churned,12/26/2025,0.65394956,886.042796625495,886.042796625495,10632.51355950594
C1017466,Gampaha,Basic,Male,Auto-debit,4,0-6m,886.39,7.0,0.0,0,1,0,Retained,,0.46397457,411.26241490751505,411.26241490751505,4935.148978890181
C1026007,Gampaha,Basic,Male,Cash,49,37-60m,1377.19,3.0,3.0,1,0,0,Retained,,0.37578288,517.5244206604361,517.5244206604361,6210.293047925234
C1012362,Gampaha,Basic,Male,App,6,0-6m,1484.37,8.0,1.0,1,1,0,Retained,,0.4630286,687.3057774585485,687.3057774585485,8247.669329502582
C1016152,Nuwara Eliya,Platinum,Male,App,37,37-60m,6973.06,6.0,2.0,0,1,1,Churned,5/18/2025,0.75660414,5275.846029857397,5275.846029857397,63310.15235828877
C1022376,Nuwara Eliya,Basic,Female,Bank transfer,19,13-24m,924.75,10.0,0.0,0,1,0,Retained,,0.22322838,206.43044448271394,206.43044448271394,2477.1653337925673
